ADAPTADO MACHO PEAD 20X1/2
CONJ CONEXOES HIDROM 1/2 PP 3 E 1;1
"REGISTRO ESFERA PVC JR 1""";1
CONJ CONEXOES HIDROM 1/2 PP 3 E 1;1
"REGISTRO PP 1/2"" ACIONAM RESTRITO PN10";1
"BUCHA REDUCAO PVC JR 3/4""X1/2""";1
CONJ CONEXOES HIDROM 1/2 PP 3 E 1;2
"LUVA PVC JR 3/4""";1
LACRE TAMPA CX HIDROM AJUSTAVEL (AZUL);1
"REGISTRO ANGULAR PP 1/2"" ACIONAM RESTRIT";1
CONJ CONEXOES HIDROM 1/2 PP 3 E 1;2
"ADAPTADOR CURTO PVC JSR 20MMX1/2""";1
LACRE TAMPA CX HIDROM AJUSTAVEL (AZUL);1
LUVA UNIAO COMPRESSAO PP 63MM PN16;1
"REGISTRO ESFERA PVC JR 1""";1
ADAPTADOR COMPRESS�O FEMEA 20 X 1/2�;1
"REGISTRO ANGULAR PP 1/2"" ACIONAM RESTRIT";1
"BUCHA REDUCAO PVC JR 3/4""X1/2""";1
CONJ CONEXOES HIDROM 1/2 PP 3 E 1;2
"LUVA PVC JR 3/4""";1
"ADAPTADOR CURTO PVC JSR 20MMX1/2""";1
LACRE TAMPA CX HIDROM AJUSTAVEL (AZUL);1
CONJ CONEXOES HIDROM 1/2 PP 1,5 M3/H;1
"LACRE ANTIFRAUDE PORCA HIDR 1/2"" (AZUL)";1
"HIDROMETRO RES MULT 1,5M3/H 1/2"" S/C 45�";1
"LUVA PVC JSR 32MMX1""";1
LUVA PVC JS 32MM;1
BUCHA REDUCAO CURTA PVC JS 25X20MM;2
BUCHA REDUCAO CURTA PVC JS 32X25MM;2
"ADAPTADOR CURTO PVC JSR 32MMX1""";1
"JOELHO ADAP COMP PP MACHO 20MMX1/2"" PN10";1
CONJ CONEXOES HIDROM 1/2 PP 3 E 1;1
LUVA UNIAO COMPRESSAO PP 20MM PN10;1
"BUCHA REDUCAO PVC JR 3/4""X1/2""";2
CONJ CONEXOES HIDROM 1/2 PP 3 E 1;1
"LUVA PVC JR 3/4""";2
LACRE TAMPA CX HIDROM AJUSTAVEL (AZUL);1
"REGISTRO ANGULAR PP 1/2"" ACIONAM RESTRIT";1
LUVA PVC JS 20MM;1
JOELHO 90 PVC JS 20MM;1
"REGISTRO ANGULAR PP 1/2"" ACIONAM RESTRIT";1
"BUCHA REDUCAO PVC JR 3/4""X1/2""";1
CONJ CONEXOES HIDROM 1/2 PP 3 E 1;2
"LUVA PVC JR 3/4""";1
"ADAPTADOR CURTO PVC JSR 20MMX1/2""";1
LACRE TAMPA CX HIDROM AJUSTAVEL (AZUL);1
CONJ CONEXOES HIDROM 1/2 PP 1,5 M3/H;1
"LACRE ANTIFRAUDE PORCA HIDR 1/2"" (AZUL)";1
"HIDROMETRO RES MULT 1,5M3/H 1/2"" S/C 45�";1
UNIAO PVC JS 25MM;2
CONJ CONEXOES HIDROM 1/2 PP 3 E 1;1
LACRE TAMPA CX HIDROM AJUSTAVEL (AZUL);1
"HIDROMETRO RES MULT 1,5M3/H 1/2"" S/C 45�";1
CONJ CONEXOES HIDROM 1/2 PP 3 E 1;1
LACRE TAMPA CX HIDROM AJUSTAVEL (AZUL);1
"REGISTRO ANGULAR PP 1/2"" ACIONAM RESTRIT";1
"LUVA PVC JSR 20MMX1/2""";1
"BUCHA REDUCAO PVC JR 3/4""X1/2""";1
CONJ CONEXOES HIDROM 1/2 PP 3 E 1;1
"LUVA PVC JR 3/4""";1
LACRE TAMPA CX HIDROM AJUSTAVEL (AZUL);1
"REGISTRO PP 1/2"" ACIONAM RESTRITO PN10";1
"HIDROMETRO RES MULT 1,5M3/H 1/2"" S/C 45�";1
"REGISTRO ANGULAR PP 1/2"" ACIONAM RESTRIT";1
"BUCHA REDUCAO PVC JR 3/4""X1/2""";1
CONJ CONEXOES HIDROM 1/2 PP 3 E 1;1
"LUVA PVC JR 3/4""";1
"ADAPTADOR CURTO PVC JSR 20MMX1/2""";1
LACRE TAMPA CX HIDROM AJUSTAVEL (AZUL);1
